id,lead_code,suggested_action,TARGET,total_due,dpd_bucket,state,wa_msgs_sent,wa_msgs_read,wa_msgs_failed,wa_unique_responses,bot_calls,bot_answered,bot_avg_duration,human_calls,human_answered,human_avg_duration,field_visits,met_customer,door_locked,shifted,sms_sent,sms_failed
13,LDSMFG_100012,ACTION_FIELD,0.37,92498,30-60,Delhi,2.0,1.0,0.0,0.0,1.0,0.0,213.0,1.0,0.0,276.0,1.0,1.0,0.0,0.0,0.0,0.0
14,LDSMFG_100013,ACTION_BOT,0.5,379871,30-60,Tamil Nadu,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
15,LDSMFG_100014,ACTION_DIGITAL,0.79,393468,90-180,Tamil Nadu,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
16,LDSMFG_100015,ACTION_HUMAN_CALL,0.33,180203,30-60,Delhi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
17,LDSMFG_100016,ACTION_FIELD,0.34,196335,90-180,UP,3.0,2.0,0.0,0.0,3.0,2.0,101.33333333333331,1.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
18,LDSMFG_100017,ACTION_HUMAN_CALL,0.53,283167,30-60,Tamil Nadu,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
19,LDSMFG_100018,ACTION_HUMAN_CALL,0.41,46090,60-90,Maharashtra,1.0,0.0,0.0,0.0,2.0,1.0,148.0,2.0,1.0,184.5,0.0,0.0,0.0,0.0,0.0,0.0
20,LDSMFG_100019,ACTION_HUMAN_CALL,0.39,334365,30-60,Karnataka,2.0,0.0,0.0,0.0,1.0,0.0,92.0,1.0,1.0,165.0,1.0,1.0,0.0,0.0,0.0,0.0
21,LDSMFG_100020,ACTION_BOT,0.44,69820,60-90,Karnataka,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LDSMFG_100021,ACTION_FIELD,0.37,267913,90-180,Delhi,3.0,2.0,0.0,1.0,1.0,0.0,147.0,1.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
23,LDSMFG_100022,ACTION_DIGITAL,0.26,326879,60-90,Tamil Nadu,5.0,2.0,0.0,0.0,2.0,1.0,52.5,3.0,1.0,117.0,1.0,0.0,1.0,0.0,0.0,0.0
24,LDSMFG_100023,ACTION_DIGITAL,0.49,199027,60-90,Maharashtra,2.0,1.0,0.0,0.0,1.0,0.0,193.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
25,LDSMFG_100024,ACTION_HUMAN_CALL,0.43,332069,30-60,Delhi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,173.5,0.0,0.0,0.0,0.0,0.0,0.0
26,LDSMFG_100025,ACTION_DIGITAL,0.66,257709,180+,UP,4.0,3.0,0.0,1.0,2.0,1.0,108.5,1.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
27,LDSMFG_100026,ACTION_FIELD,0.73,204041,60-90,Tamil Nadu,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,LDSMFG_100027,ACTION_BOT,0.18,272455,30-60,Tamil Nadu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0
29,LDSMFG_100028,ACTION_BOT,0.11,108355,30-60,Delhi,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,LDSMFG_100029,ACTION_FIELD,0.79,240796,30-60,UP,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0
31,LDSMFG_100030,ACTION_DIGITAL,0.62,219176,30-60,Maharashtra,5.0,1.0,2.0,0.0,1.0,1.0,247.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
32,LDSMFG_100031,ACTION_DIGITAL,0.25,189779,180+,Delhi,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
33,LDSMFG_100032,ACTION_FIELD,0.36,352449,30-60,UP,4.0,2.0,2.0,0.0,1.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,LDSMFG_100033,ACTION_FIELD,0.43,426909,30-60,Tamil Nadu,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,174.5,1.0,0.0,1.0,0.0,0.0,0.0
35,LDSMFG_100034,ACTION_HUMAN_CALL,0.42,470148,60-90,Tamil Nadu,4.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,141.5,1.0,0.0,1.0,0.0,0.0,0.0
36,LDSMFG_100035,ACTION_HUMAN_CALL,0.39,263795,60-90,Tamil Nadu,4.0,3.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,LDSMFG_100036,ACTION_HUMAN_CALL,0.58,491232,30-60,UP,4.0,3.0,0.0,0.0,1.0,1.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,LDSMFG_100037,ACTION_DIGITAL,0.78,397752,30-60,Tamil Nadu,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,LDSMFG_100038,ACTION_HUMAN_CALL,0.86,161730,30-60,UP,5.0,0.0,1.0,1.0,1.0,1.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,LDSMFG_100039,ACTION_FIELD,0.74,351622,60-90,Tamil Nadu,5.0,0.0,0.0,0.0,2.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,LDSMFG_100040,ACTION_DIGITAL,0.36,389681,30-60,Karnataka,2.0,1.0,0.0,1.0,2.0,1.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,LDSMFG_100041,ACTION_DIGITAL,0.47,154503,180+,Tamil Nadu,1.0,0.0,0.0,1.0,2.0,1.0,115.5,1.0,1.0,46.0,1.0,1.0,0.0,0.0,0.0,0.0
43,LDSMFG_100042,ACTION_HUMAN_CALL,0.46,135523,60-90,Delhi,3.0,2.0,0.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,LDSMFG_100043,ACTION_FIELD,0.46,7747,60-90,UP,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,LDSMFG_100044,ACTION_BOT,0.45,128855,180+,Tamil Nadu,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,LDSMFG_100045,ACTION_BOT,0.53,457366,60-90,Karnataka,3.0,1.0,0.0,1.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,LDSMFG_100046,ACTION_HUMAN_CALL,0.13,70725,60-90,UP,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,LDSMFG_100047,ACTION_DIGITAL,0.27,134981,30-60,Karnataka,4.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
49,LDSMFG_100048,ACTION_HUMAN_CALL,0.69,89654,90-180,UP,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,178.5,0.0,0.0,0.0,0.0,0.0,0.0
50,LDSMFG_100049,ACTION_FIELD,0.6,433989,30-60,Karnataka,2.0,2.0,0.0,0.0,1.0,1.0,208.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
51,LDSMFG_100050,ACTION_HUMAN_CALL,0.17,386490,60-90,Karnataka,4.0,4.0,0.0,0.0,1.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,LDSMFG_100051,ACTION_DIGITAL,0.67,72435,60-90,Karnataka,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53,LDSMFG_100052,ACTION_FIELD,0.39,324030,60-90,UP,0.0,0.0,0.0,0.0,1.0,1.0,132.0,2.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0
54,LDSMFG_100053,ACTION_DIGITAL,0.44,333947,90-180,Tamil Nadu,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
55,LDSMFG_100054,ACTION_DIGITAL,0.48,36551,60-90,UP,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,LDSMFG_100055,ACTION_HUMAN_CALL,0.72,383360,30-60,Delhi,2.0,0.0,0.0,0.0,1.0,0.0,262.0,2.0,1.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
57,LDSMFG_100056,ACTION_FIELD,0.39,278538,60-90,Karnataka,2.0,1.0,1.0,0.0,1.0,1.0,150.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
58,LDSMFG_100057,ACTION_BOT,0.44,336236,180+,Karnataka,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
59,LDSMFG_100058,ACTION_FIELD,0.44,8890,60-90,UP,2.0,1.0,0.0,1.0,1.0,0.0,268.0,1.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0
60,LDSMFG_100059,ACTION_DIGITAL,0.4,46606,30-60,Tamil Nadu,4.0,3.0,0.0,2.0,1.0,1.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,LDSMFG_100060,ACTION_DIGITAL,0.94,494492,180+,Tamil Nadu,2.0,1.0,1.0,0.0,1.0,1.0,29.0,1.0,1.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0
62,LDSMFG_100061,ACTION_HUMAN_CALL,0.35,261840,30-60,Delhi,1.0,1.0,0.0,0.0,1.0,1.0,174.0,2.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
63,LDSMFG_100062,ACTION_DIGITAL,0.6,478254,180+,Tamil Nadu,7.0,3.0,1.0,1.0,2.0,1.0,143.5,1.0,0.0,74.0,2.0,0.0,1.0,1.0,0.0,0.0
64,LDSMFG_100063,ACTION_HUMAN_CALL,0.09,354457,30-60,UP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
65,LDSMFG_100064,ACTION_HUMAN_CALL,0.54,146699,180+,Maharashtra,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,LDSMFG_100065,ACTION_HUMAN_CALL,0.22,275936,30-60,UP,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
67,LDSMFG_100066,ACTION_DIGITAL,0.73,244931,90-180,Maharashtra,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0
68,LDSMFG_100067,ACTION_HUMAN_CALL,0.53,244629,90-180,Karnataka,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,LDSMFG_100068,ACTION_DIGITAL,0.61,210041,60-90,UP,1.0,1.0,0.0,0.0,1.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,LDSMFG_100069,ACTION_BOT,0.13,179073,90-180,Maharashtra,1.0,1.0,0.0,1.0,1.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,LDSMFG_100070,ACTION_DIGITAL,0.11,212624,60-90,Karnataka,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,LDSMFG_100071,ACTION_BOT,0.47,422113,30-60,Maharashtra,5.0,3.0,0.0,0.0,1.0,1.0,227.0,2.0,0.0,245.0,1.0,0.0,1.0,0.0,0.0,0.0
73,LDSMFG_100072,ACTION_BOT,0.33,73148,30-60,Tamil Nadu,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
74,LDSMFG_100073,ACTION_HUMAN_CALL,0.3,257801,60-90,Karnataka,4.0,3.0,0.0,0.0,2.0,0.0,76.5,1.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0
75,LDSMFG_100074,ACTION_HUMAN_CALL,0.41,129243,60-90,Karnataka,2.0,1.0,0.0,0.0,2.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,LDSMFG_100075,ACTION_HUMAN_CALL,0.45,256995,30-60,UP,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,LDSMFG_100076,ACTION_DIGITAL,0.73,387318,30-60,Delhi,1.0,1.0,0.0,0.0,1.0,0.0,243.0,1.0,0.0,253.0,1.0,1.0,0.0,0.0,0.0,0.0
78,LDSMFG_100077,ACTION_BOT,0.18,159555,60-90,Maharashtra,4.0,1.0,2.0,1.0,5.0,0.0,137.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
79,LDSMFG_100078,ACTION_FIELD,0.48,391502,90-180,Delhi,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0
80,LDSMFG_100079,ACTION_FIELD,0.35,53555,90-180,Tamil Nadu,5.0,0.0,3.0,0.0,3.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,LDSMFG_100080,ACTION_BOT,0.39,261508,30-60,UP,3.0,2.0,1.0,0.0,1.0,0.0,7.0,2.0,2.0,189.5,0.0,0.0,0.0,0.0,0.0,0.0
82,LDSMFG_100081,ACTION_FIELD,0.74,284303,180+,UP,4.0,2.0,0.0,1.0,1.0,1.0,43.0,1.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0
83,LDSMFG_100082,ACTION_FIELD,0.4,377654,180+,Karnataka,3.0,1.0,0.0,0.0,2.0,1.0,153.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,LDSMFG_100083,ACTION_DIGITAL,0.26,111530,30-60,Tamil Nadu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0
85,LDSMFG_100084,ACTION_FIELD,0.36,85077,60-90,UP,0.0,0.0,0.0,0.0,1.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,LDSMFG_100085,ACTION_BOT,0.54,303064,60-90,UP,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0
87,LDSMFG_100086,ACTION_BOT,0.16,490283,60-90,UP,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0
88,LDSMFG_100087,ACTION_FIELD,0.39,465337,60-90,Karnataka,2.0,1.0,0.0,0.0,1.0,1.0,133.0,1.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
89,LDSMFG_100088,ACTION_DIGITAL,0.44,205551,60-90,Maharashtra,3.0,2.0,0.0,1.0,3.0,1.0,213.33333333333331,1.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0
90,LDSMFG_100089,ACTION_BOT,0.22,487691,30-60,Maharashtra,1.0,0.0,0.0,0.0,1.0,0.0,219.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
91,LDSMFG_100090,ACTION_HUMAN_CALL,0.22,286601,30-60,Karnataka,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,181.0,1.0,0.0,0.0,1.0,0.0,0.0
92,LDSMFG_100091,ACTION_DIGITAL,0.34,464773,30-60,Delhi,2.0,1.0,0.0,0.0,1.0,0.0,290.0,1.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0
93,LDSMFG_100092,ACTION_HUMAN_CALL,0.14,213261,90-180,Delhi,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,LDSMFG_100093,ACTION_FIELD,0.45,245181,30-60,Maharashtra,4.0,1.0,1.0,1.0,3.0,1.0,56.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,LDSMFG_100094,ACTION_DIGITAL,0.25,346097,90-180,Tamil Nadu,1.0,0.0,1.0,0.0,1.0,0.0,239.0,2.0,1.0,181.5,0.0,0.0,0.0,0.0,0.0,0.0
96,LDSMFG_100095,ACTION_BOT,0.8,320139,60-90,Karnataka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
97,LDSMFG_100096,ACTION_FIELD,0.74,176829,60-90,Tamil Nadu,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,LDSMFG_100097,ACTION_BOT,0.37,276836,90-180,Maharashtra,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,LDSMFG_100098,ACTION_BOT,0.16,443974,30-60,Tamil Nadu,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,LDSMFG_100099,ACTION_FIELD,0.43,470625,30-60,Delhi,6.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,LDSMFG_100100,ACTION_FIELD,0.43,207283,180+,Delhi,4.0,1.0,0.0,0.0,1.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,LDSMFG_100101,ACTION_FIELD,0.31,201769,60-90,Maharashtra,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
103,LDSMFG_100102,ACTION_FIELD,0.36,42065,30-60,Karnataka,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,209.0,1.0,1.0,0.0,0.0,0.0,0.0
104,LDSMFG_100103,ACTION_DIGITAL,0.65,228165,30-60,Karnataka,3.0,1.0,0.0,0.0,2.0,0.0,180.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0
105,LDSMFG_100104,ACTION_FIELD,0.55,104299,90-180,Delhi,2.0,1.0,0.0,1.0,1.0,0.0,42.0,4.0,1.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0
106,LDSMFG_100105,ACTION_DIGITAL,0.41,430822,60-90,UP,1.0,1.0,0.0,0.0,2.0,1.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,LDSMFG_100106,ACTION_FIELD,0.4,16534,30-60,UP,2.0,0.0,0.0,0.0,4.0,1.0,116.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,LDSMFG_100107,ACTION_BOT,0.32,492879,90-180,Karnataka,3.0,2.0,1.0,1.0,1.0,1.0,93.0,1.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0
109,LDSMFG_100108,ACTION_BOT,0.47,45397,60-90,Maharashtra,3.0,1.0,0.0,0.0,1.0,0.0,240.0,2.0,0.0,192.0,1.0,0.0,0.0,1.0,0.0,0.0
110,LDSMFG_100109,ACTION_FIELD,0.48,262750,180+,Maharashtra,6.0,2.0,1.0,0.0,1.0,0.0,169.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
111,LDSMFG_100110,ACTION_DIGITAL,0.8,358531,30-60,Karnataka,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,LDSMFG_100111,ACTION_FIELD,0.33,268160,60-90,Delhi,2.0,2.0,0.0,0.0,1.0,0.0,242.0,1.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0
113,LDSMFG_100112,ACTION_FIELD,0.39,488005,30-60,Maharashtra,5.0,3.0,0.0,1.0,2.0,2.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,LDSMFG_100113,ACTION_FIELD,0.7,60591,60-90,Karnataka,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,LDSMFG_100114,ACTION_DIGITAL,0.12,225884,30-60,Maharashtra,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0
116,LDSMFG_100115,ACTION_DIGITAL,0.36,28247,30-60,Karnataka,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
117,LDSMFG_100116,ACTION_HUMAN_CALL,0.44,29300,30-60,Maharashtra,4.0,3.0,0.0,0.0,1.0,0.0,89.0,1.0,1.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0
118,LDSMFG_100117,ACTION_FIELD,0.74,472281,30-60,Karnataka,1.0,0.0,0.0,0.0,2.0,0.0,93.0,2.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0
119,LDSMFG_100118,ACTION_BOT,0.35,87798,180+,Tamil Nadu,2.0,0.0,0.0,0.0,3.0,1.0,131.33333333333334,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
120,LDSMFG_100119,ACTION_DIGITAL,0.79,14268,30-60,Karnataka,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
121,LDSMFG_100120,ACTION_BOT,0.55,353951,60-90,Delhi,4.0,4.0,0.0,1.0,1.0,1.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,LDSMFG_100121,ACTION_HUMAN_CALL,0.38,279329,60-90,Tamil Nadu,3.0,3.0,0.0,0.0,1.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,LDSMFG_100122,ACTION_DIGITAL,0.56,199776,60-90,Karnataka,1.0,1.0,0.0,1.0,1.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,LDSMFG_100123,ACTION_DIGITAL,0.32,222851,90-180,Karnataka,2.0,0.0,1.0,0.0,1.0,0.0,255.0,1.0,1.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0
125,LDSMFG_100124,ACTION_HUMAN_CALL,0.23,437315,90-180,Tamil Nadu,7.0,3.0,2.0,1.0,1.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,LDSMFG_100125,ACTION_HUMAN_CALL,0.83,406787,180+,Maharashtra,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,121.5,0.0,0.0,0.0,0.0,0.0,0.0
127,LDSMFG_100126,ACTION_DIGITAL,0.3,241584,90-180,Tamil Nadu,3.0,1.0,1.0,1.0,1.0,0.0,231.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
128,LDSMFG_100127,ACTION_HUMAN_CALL,0.44,43044,90-180,Maharashtra,3.0,1.0,0.0,0.0,2.0,1.0,162.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,LDSMFG_100128,ACTION_BOT,0.68,318358,60-90,Maharashtra,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,115.0,1.0,0.0,1.0,0.0,0.0,0.0
130,LDSMFG_100129,ACTION_BOT,0.12,459444,60-90,Tamil Nadu,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
