id,lead_code,suggested_action,TARGET,total_due,dpd_bucket,state
68,LDSMFG_100067,ACTION_HUMAN_CALL,0.53,244629,90-180,Karnataka
69,LDSMFG_100068,ACTION_DIGITAL,0.61,210041,60-90,UP
70,LDSMFG_100069,ACTION_BOT,0.13,179073,90-180,Maharashtra
71,LDSMFG_100070,ACTION_DIGITAL,0.11,212624,60-90,Karnataka
72,LDSMFG_100071,ACTION_BOT,0.47,422113,30-60,Maharashtra
73,LDSMFG_100072,ACTION_BOT,0.33,73148,30-60,Tamil Nadu
74,LDSMFG_100073,ACTION_HUMAN_CALL,0.3,257801,60-90,Karnataka
75,LDSMFG_100074,ACTION_HUMAN_CALL,0.41,129243,60-90,Karnataka
76,LDSMFG_100075,ACTION_HUMAN_CALL,0.45,256995,30-60,UP
77,LDSMFG_100076,ACTION_DIGITAL,0.73,387318,30-60,Delhi
78,LDSMFG_100077,ACTION_BOT,0.18,159555,60-90,Maharashtra
79,LDSMFG_100078,ACTION_FIELD,0.48,391502,90-180,Delhi
80,LDSMFG_100079,ACTION_FIELD,0.35,53555,90-180,Tamil Nadu
81,LDSMFG_100080,ACTION_BOT,0.39,261508,30-60,UP
82,LDSMFG_100081,ACTION_FIELD,0.74,284303,180+,UP
83,LDSMFG_100082,ACTION_FIELD,0.4,377654,180+,Karnataka
84,LDSMFG_100083,ACTION_DIGITAL,0.26,111530,30-60,Tamil Nadu
85,LDSMFG_100084,ACTION_FIELD,0.36,85077,60-90,UP
86,LDSMFG_100085,ACTION_BOT,0.54,303064,60-90,UP
87,LDSMFG_100086,ACTION_BOT,0.16,490283,60-90,UP
88,LDSMFG_100087,ACTION_FIELD,0.39,465337,60-90,Karnataka
89,LDSMFG_100088,ACTION_DIGITAL,0.44,205551,60-90,Maharashtra
90,LDSMFG_100089,ACTION_BOT,0.22,487691,30-60,Maharashtra
91,LDSMFG_100090,ACTION_HUMAN_CALL,0.22,286601,30-60,Karnataka
92,LDSMFG_100091,ACTION_DIGITAL,0.34,464773,30-60,Delhi
93,LDSMFG_100092,ACTION_HUMAN_CALL,0.14,213261,90-180,Delhi
94,LDSMFG_100093,ACTION_FIELD,0.45,245181,30-60,Maharashtra
95,LDSMFG_100094,ACTION_DIGITAL,0.25,346097,90-180,Tamil Nadu
96,LDSMFG_100095,ACTION_BOT,0.8,320139,60-90,Karnataka
97,LDSMFG_100096,ACTION_FIELD,0.74,176829,60-90,Tamil Nadu
98,LDSMFG_100097,ACTION_BOT,0.37,276836,90-180,Maharashtra
99,LDSMFG_100098,ACTION_BOT,0.16,443974,30-60,Tamil Nadu
100,LDSMFG_100099,ACTION_FIELD,0.43,470625,30-60,Delhi
101,LDSMFG_100100,ACTION_FIELD,0.43,207283,180+,Delhi
102,LDSMFG_100101,ACTION_FIELD,0.31,201769,60-90,Maharashtra
103,LDSMFG_100102,ACTION_FIELD,0.36,42065,30-60,Karnataka
104,LDSMFG_100103,ACTION_DIGITAL,0.65,228165,30-60,Karnataka
105,LDSMFG_100104,ACTION_FIELD,0.55,104299,90-180,Delhi
106,LDSMFG_100105,ACTION_DIGITAL,0.41,430822,60-90,UP
107,LDSMFG_100106,ACTION_FIELD,0.4,16534,30-60,UP
108,LDSMFG_100107,ACTION_BOT,0.32,492879,90-180,Karnataka
109,LDSMFG_100108,ACTION_BOT,0.47,45397,60-90,Maharashtra
110,LDSMFG_100109,ACTION_FIELD,0.48,262750,180+,Maharashtra
111,LDSMFG_100110,ACTION_DIGITAL,0.8,358531,30-60,Karnataka
112,LDSMFG_100111,ACTION_FIELD,0.33,268160,60-90,Delhi
113,LDSMFG_100112,ACTION_FIELD,0.39,488005,30-60,Maharashtra
114,LDSMFG_100113,ACTION_FIELD,0.7,60591,60-90,Karnataka
115,LDSMFG_100114,ACTION_DIGITAL,0.12,225884,30-60,Maharashtra
116,LDSMFG_100115,ACTION_DIGITAL,0.36,28247,30-60,Karnataka
117,LDSMFG_100116,ACTION_HUMAN_CALL,0.44,29300,30-60,Maharashtra
118,LDSMFG_100117,ACTION_FIELD,0.74,472281,30-60,Karnataka
119,LDSMFG_100118,ACTION_BOT,0.35,87798,180+,Tamil Nadu
120,LDSMFG_100119,ACTION_DIGITAL,0.79,14268,30-60,Karnataka
121,LDSMFG_100120,ACTION_BOT,0.55,353951,60-90,Delhi
122,LDSMFG_100121,ACTION_HUMAN_CALL,0.38,279329,60-90,Tamil Nadu
123,LDSMFG_100122,ACTION_DIGITAL,0.56,199776,60-90,Karnataka
124,LDSMFG_100123,ACTION_DIGITAL,0.32,222851,90-180,Karnataka
125,LDSMFG_100124,ACTION_HUMAN_CALL,0.23,437315,90-180,Tamil Nadu
126,LDSMFG_100125,ACTION_HUMAN_CALL,0.83,406787,180+,Maharashtra
127,LDSMFG_100126,ACTION_DIGITAL,0.3,241584,90-180,Tamil Nadu
128,LDSMFG_100127,ACTION_HUMAN_CALL,0.44,43044,90-180,Maharashtra
129,LDSMFG_100128,ACTION_BOT,0.68,318358,60-90,Maharashtra
130,LDSMFG_100129,ACTION_BOT,0.12,459444,60-90,Tamil Nadu
131,LDSMFG_100130,ACTION_DIGITAL,0.55,381896,60-90,Delhi
132,LDSMFG_100131,ACTION_FIELD,0.36,53984,30-60,Maharashtra
133,LDSMFG_100132,ACTION_BOT,0.4,307918,30-60,Karnataka
134,LDSMFG_100133,ACTION_FIELD,0.39,269712,30-60,UP
135,LDSMFG_100134,ACTION_BOT,0.06,125151,30-60,Maharashtra
136,LDSMFG_100135,ACTION_FIELD,0.44,460808,60-90,UP
137,LDSMFG_100136,ACTION_HUMAN_CALL,0.65,465779,30-60,Tamil Nadu
138,LDSMFG_100137,ACTION_FIELD,0.36,138767,60-90,Maharashtra
139,LDSMFG_100138,ACTION_HUMAN_CALL,0.21,129375,180+,Delhi
140,LDSMFG_100139,ACTION_HUMAN_CALL,0.07,184262,60-90,UP
141,LDSMFG_100140,ACTION_FIELD,0.31,141330,30-60,UP
142,LDSMFG_100141,ACTION_BOT,0.3,485754,30-60,UP
143,LDSMFG_100142,ACTION_FIELD,0.42,306648,90-180,UP
144,LDSMFG_100143,ACTION_FIELD,0.51,169231,180+,UP
145,LDSMFG_100144,ACTION_BOT,0.71,18986,90-180,Karnataka
146,LDSMFG_100145,ACTION_FIELD,0.42,66858,30-60,UP
147,LDSMFG_100146,ACTION_FIELD,0.4,134312,30-60,UP
148,LDSMFG_100147,ACTION_HUMAN_CALL,0.64,17666,180+,Tamil Nadu
149,LDSMFG_100148,ACTION_HUMAN_CALL,0.19,305804,30-60,Karnataka
150,LDSMFG_100149,ACTION_DIGITAL,0.74,139633,30-60,Karnataka
151,LDSMFG_100150,ACTION_DIGITAL,0.8,293998,30-60,Karnataka
152,LDSMFG_100151,ACTION_FIELD,0.46,331649,180+,Delhi
153,LDSMFG_100152,ACTION_BOT,0.1,109488,60-90,UP
154,LDSMFG_100153,ACTION_BOT,0.43,188323,180+,Tamil Nadu
155,LDSMFG_100154,ACTION_BOT,0.04,289806,30-60,Karnataka
156,LDSMFG_100155,ACTION_BOT,0.69,275536,90-180,Tamil Nadu
157,LDSMFG_100156,ACTION_FIELD,0.77,35535,30-60,Tamil Nadu
158,LDSMFG_100157,ACTION_BOT,0.58,476819,30-60,Delhi
159,LDSMFG_100158,ACTION_BOT,0.7,380713,60-90,Maharashtra
160,LDSMFG_100159,ACTION_FIELD,0.39,319400,60-90,Delhi
161,LDSMFG_100160,ACTION_HUMAN_CALL,0.46,356279,60-90,Maharashtra
162,LDSMFG_100161,ACTION_HUMAN_CALL,0.36,394622,180+,Maharashtra
163,LDSMFG_100162,ACTION_HUMAN_CALL,0.19,302366,30-60,Maharashtra
164,LDSMFG_100163,ACTION_FIELD,0.48,82373,30-60,Delhi
165,LDSMFG_100164,ACTION_HUMAN_CALL,0.39,477791,60-90,Delhi
166,LDSMFG_100165,ACTION_DIGITAL,0.34,128684,90-180,Karnataka
167,LDSMFG_100166,ACTION_FIELD,0.35,494570,90-180,UP
168,LDSMFG_100167,ACTION_BOT,0.69,482867,60-90,Karnataka
169,LDSMFG_100168,ACTION_FIELD,0.44,461551,90-180,Delhi
170,LDSMFG_100169,ACTION_FIELD,0.37,278109,30-60,Tamil Nadu
171,LDSMFG_100170,ACTION_DIGITAL,0.74,29538,30-60,Tamil Nadu
172,LDSMFG_100171,ACTION_BOT,0.8,375210,60-90,Karnataka
173,LDSMFG_100172,ACTION_HUMAN_CALL,0.34,206664,90-180,Karnataka
174,LDSMFG_100173,ACTION_FIELD,0.32,496234,60-90,Maharashtra
175,LDSMFG_100174,ACTION_DIGITAL,0.72,380396,60-90,Maharashtra
176,LDSMFG_100175,ACTION_HUMAN_CALL,0.42,144182,60-90,Maharashtra
177,LDSMFG_100176,ACTION_FIELD,0.76,477525,60-90,Maharashtra
178,LDSMFG_100177,ACTION_DIGITAL,0.52,163338,90-180,Tamil Nadu
179,LDSMFG_100178,ACTION_HUMAN_CALL,0.61,189064,60-90,UP
180,LDSMFG_100179,ACTION_DIGITAL,0.4,219020,30-60,Delhi
181,LDSMFG_100180,ACTION_FIELD,0.39,103806,90-180,Maharashtra
182,LDSMFG_100181,ACTION_FIELD,0.37,405126,60-90,Karnataka
183,LDSMFG_100182,ACTION_BOT,0.13,378133,90-180,Delhi
184,LDSMFG_100183,ACTION_BOT,0.46,95982,180+,Delhi
185,LDSMFG_100184,ACTION_BOT,0.0,126626,30-60,Delhi
186,LDSMFG_100185,ACTION_BOT,0.64,124176,60-90,Karnataka
187,LDSMFG_100186,ACTION_BOT,0.34,398422,60-90,Maharashtra
188,LDSMFG_100187,ACTION_DIGITAL,0.74,223126,30-60,UP
189,LDSMFG_100188,ACTION_DIGITAL,0.21,223969,90-180,Karnataka
190,LDSMFG_100189,ACTION_HUMAN_CALL,0.83,127409,60-90,Maharashtra
191,LDSMFG_100190,ACTION_HUMAN_CALL,0.46,28419,90-180,UP
192,LDSMFG_100191,ACTION_HUMAN_CALL,0.85,448852,90-180,UP
193,LDSMFG_100192,ACTION_FIELD,0.65,258618,30-60,Karnataka
194,LDSMFG_100193,ACTION_DIGITAL,0.07,250310,90-180,UP
195,LDSMFG_100194,ACTION_BOT,0.35,55015,90-180,Tamil Nadu
196,LDSMFG_100195,ACTION_BOT,0.07,253550,90-180,Tamil Nadu
197,LDSMFG_100196,ACTION_FIELD,0.34,127096,60-90,Delhi
198,LDSMFG_100197,ACTION_BOT,0.11,112059,60-90,Karnataka
199,LDSMFG_100198,ACTION_BOT,0.26,190340,30-60,Maharashtra
200,LDSMFG_100199,ACTION_HUMAN_CALL,0.62,115687,90-180,UP
201,LDSMFG_100200,ACTION_HUMAN_CALL,0.43,355083,60-90,Karnataka
202,LDSMFG_100201,ACTION_HUMAN_CALL,0.6,416357,60-90,Delhi
203,LDSMFG_100202,ACTION_BOT,0.48,216428,30-60,Delhi
204,LDSMFG_100203,ACTION_HUMAN_CALL,0.57,110878,60-90,Maharashtra
205,LDSMFG_100204,ACTION_FIELD,0.4,207982,30-60,Delhi
206,LDSMFG_100205,ACTION_FIELD,0.41,454260,180+,Karnataka
207,LDSMFG_100206,ACTION_DIGITAL,0.6,203286,90-180,Delhi
208,LDSMFG_100207,ACTION_FIELD,0.33,254002,30-60,Karnataka
209,LDSMFG_100208,ACTION_DIGITAL,0.35,255396,60-90,UP
210,LDSMFG_100209,ACTION_DIGITAL,0.56,169899,60-90,UP
211,LDSMFG_100210,ACTION_HUMAN_CALL,0.46,454036,90-180,UP
212,LDSMFG_100211,ACTION_BOT,0.45,329767,90-180,Tamil Nadu
213,LDSMFG_100212,ACTION_BOT,0.49,479950,180+,Delhi
214,LDSMFG_100213,ACTION_BOT,0.35,342594,30-60,Maharashtra
215,LDSMFG_100214,ACTION_DIGITAL,0.58,360570,30-60,Delhi
216,LDSMFG_100215,ACTION_BOT,0.79,384989,60-90,Maharashtra
217,LDSMFG_100216,ACTION_DIGITAL,0.92,420515,90-180,Tamil Nadu
218,LDSMFG_100217,ACTION_DIGITAL,0.27,48585,30-60,Tamil Nadu
219,LDSMFG_100218,ACTION_HUMAN_CALL,0.45,376369,30-60,Karnataka
220,LDSMFG_100219,ACTION_FIELD,0.39,69044,90-180,Tamil Nadu
221,LDSMFG_100220,ACTION_DIGITAL,0.34,440773,90-180,UP
222,LDSMFG_100221,ACTION_BOT,0.62,447296,30-60,Karnataka
223,LDSMFG_100222,ACTION_FIELD,0.75,114556,90-180,Delhi
224,LDSMFG_100223,ACTION_HUMAN_CALL,0.31,7693,30-60,Karnataka
225,LDSMFG_100224,ACTION_DIGITAL,0.8,493219,30-60,Tamil Nadu
226,LDSMFG_100225,ACTION_BOT,0.44,362403,30-60,UP
227,LDSMFG_100226,ACTION_BOT,0.28,248307,90-180,Tamil Nadu
228,LDSMFG_100227,ACTION_HUMAN_CALL,0.66,205235,60-90,Delhi
229,LDSMFG_100228,ACTION_HUMAN_CALL,0.45,30939,30-60,UP
230,LDSMFG_100229,ACTION_HUMAN_CALL,0.77,447141,30-60,Karnataka
231,LDSMFG_100230,ACTION_FIELD,0.34,441157,90-180,Tamil Nadu
232,LDSMFG_100231,ACTION_BOT,0.6,157906,60-90,Tamil Nadu
233,LDSMFG_100232,ACTION_FIELD,0.4,23047,180+,Maharashtra
234,LDSMFG_100233,ACTION_HUMAN_CALL,0.43,293249,90-180,UP
235,LDSMFG_100234,ACTION_BOT,0.35,80766,30-60,Maharashtra
236,LDSMFG_100235,ACTION_DIGITAL,0.53,413923,90-180,Tamil Nadu
237,LDSMFG_100236,ACTION_FIELD,0.36,420192,30-60,Maharashtra
238,LDSMFG_100237,ACTION_DIGITAL,0.48,49262,180+,Delhi
239,LDSMFG_100238,ACTION_BOT,0.52,392261,30-60,Tamil Nadu
240,LDSMFG_100239,ACTION_DIGITAL,0.81,290920,30-60,Delhi
241,LDSMFG_100240,ACTION_DIGITAL,0.59,166152,60-90,Maharashtra
242,LDSMFG_100241,ACTION_FIELD,0.66,133376,30-60,Delhi
243,LDSMFG_100242,ACTION_DIGITAL,0.56,465058,30-60,Tamil Nadu
244,LDSMFG_100243,ACTION_DIGITAL,0.38,459589,60-90,Tamil Nadu
245,LDSMFG_100244,ACTION_HUMAN_CALL,0.66,142848,60-90,Karnataka
246,LDSMFG_100245,ACTION_HUMAN_CALL,0.4,97787,60-90,Maharashtra
247,LDSMFG_100246,ACTION_FIELD,0.35,132948,90-180,Karnataka
248,LDSMFG_100247,ACTION_BOT,0.55,60016,60-90,Tamil Nadu
249,LDSMFG_100248,ACTION_DIGITAL,0.72,407690,180+,Karnataka
250,LDSMFG_100249,ACTION_DIGITAL,0.86,456269,30-60,Tamil Nadu
251,LDSMFG_100250,ACTION_DIGITAL,0.57,26959,30-60,Tamil Nadu
252,LDSMFG_100251,ACTION_DIGITAL,0.11,141602,60-90,Tamil Nadu
253,LDSMFG_100252,ACTION_HUMAN_CALL,0.22,230928,30-60,Maharashtra
254,LDSMFG_100253,ACTION_FIELD,0.42,386245,30-60,Karnataka
255,LDSMFG_100254,ACTION_HUMAN_CALL,0.61,270892,180+,Delhi
256,LDSMFG_100255,ACTION_FIELD,0.38,233576,60-90,Karnataka
257,LDSMFG_100256,ACTION_DIGITAL,0.23,496314,30-60,Maharashtra
258,LDSMFG_100257,ACTION_DIGITAL,0.72,18545,90-180,Maharashtra
259,LDSMFG_100258,ACTION_DIGITAL,0.35,394803,30-60,UP
260,LDSMFG_100259,ACTION_FIELD,0.73,464415,60-90,Delhi
261,LDSMFG_100260,ACTION_FIELD,0.54,170838,30-60,Delhi
262,LDSMFG_100261,ACTION_FIELD,0.36,340674,30-60,UP
263,LDSMFG_100262,ACTION_HUMAN_CALL,0.26,360701,30-60,UP
264,LDSMFG_100263,ACTION_BOT,0.38,66087,180+,Karnataka
265,LDSMFG_100264,ACTION_BOT,0.48,494055,30-60,Karnataka
266,LDSMFG_100265,ACTION_BOT,0.47,73840,60-90,Karnataka
267,LDSMFG_100266,ACTION_DIGITAL,0.52,123451,30-60,Maharashtra
268,LDSMFG_100267,ACTION_DIGITAL,0.69,452600,30-60,Tamil Nadu
269,LDSMFG_100268,ACTION_BOT,0.42,318149,60-90,Karnataka
270,LDSMFG_100269,ACTION_DIGITAL,0.84,444792,60-90,Delhi
271,LDSMFG_100270,ACTION_HUMAN_CALL,0.82,44353,90-180,Karnataka
272,LDSMFG_100271,ACTION_BOT,0.29,198075,180+,Tamil Nadu
273,LDSMFG_100272,ACTION_DIGITAL,0.35,219283,30-60,Karnataka
274,LDSMFG_100273,ACTION_FIELD,0.35,319877,30-60,Maharashtra
275,LDSMFG_100274,ACTION_HUMAN_CALL,0.36,70318,90-180,Tamil Nadu
276,LDSMFG_100275,ACTION_HUMAN_CALL,0.55,246025,180+,Maharashtra
277,LDSMFG_100276,ACTION_BOT,0.62,487690,60-90,Maharashtra
278,LDSMFG_100277,ACTION_DIGITAL,0.87,421880,60-90,Maharashtra
279,LDSMFG_100278,ACTION_BOT,0.38,72172,30-60,Delhi
280,LDSMFG_100279,ACTION_HUMAN_CALL,0.57,221688,60-90,UP
281,LDSMFG_100280,ACTION_BOT,0.28,261951,30-60,UP
282,LDSMFG_100281,ACTION_FIELD,0.38,98264,180+,UP
283,LDSMFG_100282,ACTION_BOT,0.32,251458,30-60,Delhi
284,LDSMFG_100283,ACTION_FIELD,0.54,293880,30-60,Delhi
285,LDSMFG_100284,ACTION_FIELD,0.49,230281,60-90,Maharashtra
286,LDSMFG_100285,ACTION_HUMAN_CALL,0.53,117859,30-60,UP
287,LDSMFG_100286,ACTION_BOT,0.43,379325,60-90,UP
288,LDSMFG_100287,ACTION_BOT,0.19,399070,180+,Karnataka
289,LDSMFG_100288,ACTION_BOT,0.74,357228,60-90,Tamil Nadu
290,LDSMFG_100289,ACTION_HUMAN_CALL,0.33,436839,180+,Karnataka
291,LDSMFG_100290,ACTION_FIELD,0.36,274536,30-60,UP
292,LDSMFG_100291,ACTION_BOT,0.11,322824,30-60,Maharashtra
293,LDSMFG_100292,ACTION_DIGITAL,0.46,262426,180+,Maharashtra
294,LDSMFG_100293,ACTION_FIELD,0.36,182789,30-60,Karnataka
295,LDSMFG_100294,ACTION_HUMAN_CALL,0.37,223164,90-180,Tamil Nadu
296,LDSMFG_100295,ACTION_HUMAN_CALL,0.17,318003,60-90,Delhi
297,LDSMFG_100296,ACTION_BOT,0.02,130657,60-90,UP
298,LDSMFG_100297,ACTION_BOT,0.57,240167,60-90,UP
299,LDSMFG_100298,ACTION_BOT,0.55,162381,90-180,UP
300,LDSMFG_100299,ACTION_BOT,0.5,485671,180+,Delhi
301,LDSMFG_100300,ACTION_FIELD,0.35,199806,30-60,Maharashtra
302,LDSMFG_100301,ACTION_HUMAN_CALL,0.34,75467,60-90,Tamil Nadu
303,LDSMFG_100302,ACTION_FIELD,0.42,188734,30-60,Maharashtra
304,LDSMFG_100303,ACTION_DIGITAL,0.31,103506,90-180,Delhi
305,LDSMFG_100304,ACTION_FIELD,0.46,114751,30-60,Maharashtra
306,LDSMFG_100305,ACTION_DIGITAL,0.37,386050,60-90,Maharashtra
307,LDSMFG_100306,ACTION_FIELD,0.73,410904,30-60,Karnataka
308,LDSMFG_100307,ACTION_HUMAN_CALL,0.42,292486,30-60,Delhi
309,LDSMFG_100308,ACTION_HUMAN_CALL,0.3,173229,90-180,Karnataka
310,LDSMFG_100309,ACTION_BOT,0.35,466079,30-60,Delhi
311,LDSMFG_100310,ACTION_HUMAN_CALL,0.08,373452,60-90,UP
312,LDSMFG_100311,ACTION_BOT,0.5,450299,60-90,Karnataka
313,LDSMFG_100312,ACTION_DIGITAL,0.58,111081,30-60,Delhi
314,LDSMFG_100313,ACTION_FIELD,0.41,463949,30-60,UP
315,LDSMFG_100314,ACTION_HUMAN_CALL,0.68,94045,90-180,Tamil Nadu
316,LDSMFG_100315,ACTION_DIGITAL,0.4,39698,180+,UP
317,LDSMFG_100316,ACTION_BOT,0.69,115078,30-60,Tamil Nadu
318,LDSMFG_100317,ACTION_HUMAN_CALL,0.65,347767,30-60,UP
319,LDSMFG_100318,ACTION_BOT,0.06,27671,30-60,Tamil Nadu
320,LDSMFG_100319,ACTION_FIELD,0.36,423400,90-180,Maharashtra
321,LDSMFG_100320,ACTION_FIELD,0.36,360528,60-90,Karnataka
322,LDSMFG_100321,ACTION_BOT,0.11,440323,30-60,Maharashtra
323,LDSMFG_100322,ACTION_BOT,0.17,91202,30-60,Karnataka
324,LDSMFG_100323,ACTION_DIGITAL,0.41,56663,90-180,Tamil Nadu
325,LDSMFG_100324,ACTION_BOT,0.19,20708,60-90,Karnataka
326,LDSMFG_100325,ACTION_HUMAN_CALL,0.56,359050,90-180,Tamil Nadu
327,LDSMFG_100326,ACTION_FIELD,0.41,316955,30-60,Delhi
328,LDSMFG_100327,ACTION_FIELD,0.49,138883,90-180,Tamil Nadu
329,LDSMFG_100328,ACTION_FIELD,0.45,323394,60-90,Delhi
330,LDSMFG_100329,ACTION_BOT,0.22,117547,60-90,Delhi
331,LDSMFG_100330,ACTION_FIELD,0.4,470298,60-90,Karnataka
332,LDSMFG_100331,ACTION_HUMAN_CALL,0.62,391393,60-90,UP
333,LDSMFG_100332,ACTION_FIELD,0.37,39754,60-90,Maharashtra
334,LDSMFG_100333,ACTION_HUMAN_CALL,0.74,231814,30-60,UP
335,LDSMFG_100334,ACTION_DIGITAL,0.77,242714,180+,UP
336,LDSMFG_100335,ACTION_FIELD,0.81,147483,180+,UP
337,LDSMFG_100336,ACTION_HUMAN_CALL,0.49,138983,60-90,Maharashtra
338,LDSMFG_100337,ACTION_FIELD,0.76,465486,30-60,Tamil Nadu
339,LDSMFG_100338,ACTION_HUMAN_CALL,0.15,219835,30-60,Karnataka
340,LDSMFG_100339,ACTION_HUMAN_CALL,0.4,406896,90-180,Tamil Nadu
341,LDSMFG_100340,ACTION_DIGITAL,0.47,89896,180+,Karnataka
342,LDSMFG_100341,ACTION_FIELD,0.41,482095,30-60,Delhi
343,LDSMFG_100342,ACTION_DIGITAL,0.43,76295,90-180,UP
344,LDSMFG_100343,ACTION_FIELD,0.44,224686,60-90,Karnataka
345,LDSMFG_100344,ACTION_DIGITAL,0.86,367833,30-60,UP
